Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2023,2023-09-10,1,1,21.075,PHI,@,NWE,W 25-20,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,59%
2,2023,2023-09-14,2,2,21.079,PHI,,MIN,W 34-28,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,1,2%,21,72%
3,2023,2023-09-25,3,3,21.090,PHI,@,TAM,W 25-11,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,15,75%
4,2023,2023-10-01,4,4,21.096,PHI,,WAS,W 34-31,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,25,81%
5,2023,2023-10-08,5,5,21.103,PHI,@,LAR,W 23-14,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,14,70%
6,2023,2023-10-15,6,6,21.110,PHI,@,NYJ,L 14-20,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,19,86%
7,2023,2023-10-22,7,7,21.117,PHI,,MIA,W 31-17,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,17,77%
8,2023,2023-10-29,8,8,21.124,PHI,@,WAS,W 38-31,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,20,71%
9,2023,2023-11-05,9,9,21.131,PHI,,DAL,W 28-23,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,15,63%
10,2023,2023-11-20,10,11,21.146,PHI,@,KAN,W 21-17,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,16,62%
11,2023,2023-11-26,11,12,21.152,PHI,,BUF,W 37-34,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,26,72%
12,2023,2023-12-03,12,13,21.159,PHI,,SFO,L 19-42,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,20,77%
13,2023,2023-12-10,13,14,21.166,PHI,@,DAL,L 13-33,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,22,27%,21,84%
14,2023,2023-12-18,14,15,21.174,PHI,@,SEA,L 17-20,*,0,0,0.0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0%,32,52%,19,70%
15,2023,2023-12-25,15,16,21.181,PHI,,NYG,W 33-25,*,0,0,0.0,5,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0%,51,81%,15,52%
16,2023,2023-12-31,16,17,21.187,PHI,,ARI,L 31-35,*,0,0,0.0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,53,70%,11,44%
17,2023,2024-01-07,17,18,21.194,PHI,@,NYG,L 10-27,*,0,0,1.0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0%,40,60%,14,54%
18,2024,2024-09-06,1,1,22.071,PHI,,GNB,W 34-29,,0,0,,,,,,,,,,,,,,,,,0,0%,4,6%,25,81%
19,2024,2024-09-16,2,2,22.081,PHI,,ATL,L 21-22,,0,0,,,,,,,,,,,,,,,,,0,0%,2,3%,19,86%
20,2024,2024-09-22,3,3,22.087,PHI,@,NOR,W 15-12,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,11,20%,15,89%
21,2024,2024-09-29,4,4,22.094,PHI,@,TAM,L 16-33,,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,3,4%,25,93%
22,2024,2024-10-13,5,6,22.108,PHI,,CLE,W 20-16,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,6,11%,22,81%
23,2024,2024-10-20,6,7,22.115,PHI,@,NYG,W 28-3,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,9,16%,25,78%
24,2024,2024-10-27,7,8,22.122,PHI,@,CIN,W 37-17,,0,0,,,,,,,,,,,,,,,,,0,0%,3,5%,17,71%
25,2024,2024-11-03,8,9,22.129,PHI,,JAX,W 28-23,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0%,0,0%,17,74%
26,2024,2024-11-10,9,10,22.136,PHI,@,DAL,W 34-6,,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,8,13%,22,79%
27,2024,2024-11-14,10,11,22.140,PHI,,WAS,W 26-18,,0,0,,,,,,,,,,,,,,,,,0,0%,0,0%,19,70%
