Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-06,1.0,1.0,21.211,PHI,,GNB,W 34-29,,,,,,,,,,,,,,,,,,,,,,0.0,0%,6.0,9%,23.0,74%
2.0,2024.0,2024-09-16,2.0,2.0,21.221,PHI,,ATL,L 21-22,,,,,,,,,,,,,,,,,,,,,,0.0,0%,1.0,2%,17.0,77%
3.0,2024.0,2024-09-22,3.0,3.0,21.227,PHI,@,NOR,W 15-12,,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,0%,13.0,77%
4.0,2024.0,2024-09-29,4.0,4.0,21.234,PHI,@,TAM,L 16-33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0%,1.0,1%,22.0,81%
5.0,2024.0,2024-10-13,5.0,6.0,21.248,PHI,,CLE,W 20-16,*,4.0,51.0,12.75,0.0,0.5,3.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,52.0,91%,14.0,52%
6.0,2024.0,2024-10-20,6.0,7.0,21.255,PHI,@,NYG,W 28-3,,3.0,45.0,15.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,42.0,72%,12.0,38%
7.0,2024.0,2024-10-27,7.0,8.0,21.262,PHI,@,CIN,W 37-17,*,0.0,0.0,,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,47.0,81%,4.0,17%
8.0,2024.0,2024-11-03,8.0,9.0,21.269,PHI,,JAX,W 28-23,*,0.0,0.0,,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,52.0,96%,6.0,26%
9.0,2024.0,2024-11-10,9.0,10.0,21.276,PHI,@,DAL,W 34-6,*,3.0,43.0,14.33,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0%,52.0,87%,8.0,29%
10.0,2024.0,2024-11-14,10.0,11.0,21.28,PHI,,WAS,W 26-18,*,2.0,20.0,10.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,64.0,97%,7.0,26%
