Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-06,1.0,1.0,23.05,PHI,,GNB,W 34-29,*,0.0,4,1,5,0,0,0,0,0,2,0.0,0%,63.0,94%,9.0,29%
2.0,2024.0,2024-09-16,2.0,2.0,23.06,PHI,,ATL,L 21-22,*,0.0,2,1,3,0,0,0,0,0,1,0.0,0%,61.0,100%,6.0,27%
3.0,2024.0,2024-09-22,3.0,3.0,23.066,PHI,@,NOR,W 15-12,*,0.0,3,1,4,0,0,0,0,0,2,0.0,0%,56.0,100%,1.0,6%
4.0,2024.0,2024-09-29,4.0,4.0,23.073,PHI,@,TAM,L 16-33,*,0.0,6,0,6,0,0,0,0,0,1,0.0,0%,77.0,100%,0.0,0%
5.0,2024.0,2024-10-13,5.0,6.0,23.087,PHI,,CLE,W 20-16,*,0.0,2,1,3,0,0,0,0,0,0,0.0,0%,57.0,100%,0.0,0%
6.0,2024.0,2024-10-20,6.0,7.0,23.094,PHI,@,NYG,W 28-3,*,0.0,2,1,3,0,0,0,0,0,0,0.0,0%,49.0,84%,1.0,3%
7.0,2024.0,2024-10-27,7.0,8.0,23.101,PHI,@,CIN,W 37-17,*,0.0,2,0,2,0,0,0,0,0,0,0.0,0%,55.0,95%,0.0,0%
8.0,2024.0,2024-11-03,8.0,9.0,23.108,PHI,,JAX,W 28-23,*,0.0,1,1,2,0,0,0,0,0,0,0.0,0%,54.0,100%,2.0,9%
9.0,2024.0,2024-11-10,9.0,10.0,23.115,PHI,@,DAL,W 34-6,*,0.0,2,0,2,0,0,0,0,0,2,0.0,0%,52.0,87%,0.0,0%
10.0,2024.0,2024-11-14,10.0,11.0,23.119,PHI,,WAS,W 26-18,*,0.0,0,1,1,0,0,0,0,0,0,0.0,0%,66.0,100%,1.0,4%
