Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1,2023,2023-09-10,1,1,,PHI,@,NWE,W 25-20,Inactive
2,2023,2023-09-14,2,2,,PHI,,MIN,W 34-28,Inactive
3,2023,2023-09-25,3,3,,PHI,@,TAM,W 25-11,Inactive
4,2023,2023-10-01,4,4,,PHI,,WAS,W 34-31,Inactive
5,2023,2023-10-08,5,5,,PHI,@,LAR,W 23-14,Inactive
6,2023,2023-10-15,6,6,,PHI,@,NYJ,L 14-20,Inactive
7,2023,2023-10-22,7,7,,PHI,,MIA,W 31-17,Inactive
8,2023,2023-10-29,8,8,,PHI,@,WAS,W 38-31,Inactive
9,2023,2023-11-05,9,9,,PHI,,DAL,W 28-23,Inactive
10,2023,2023-11-20,10,11,,PHI,@,KAN,W 21-17,Inactive
11,2023,2023-11-26,11,12,,PHI,,BUF,W 37-34,Inactive
12,2023,2023-12-03,12,13,,PHI,,SFO,L 19-42,Inactive
13,2023,2023-12-10,13,14,,PHI,@,DAL,L 13-33,Inactive
14,2023,2023-12-18,14,15,,PHI,@,SEA,L 17-20,Inactive
15,2023,2023-12-25,15,16,,PHI,,NYG,W 33-25,Inactive
16,2023,2023-12-31,16,17,,PHI,,ARI,L 31-35,Inactive
17,2023,2024-01-07,17,18,,PHI,@,NYG,L 10-27,Inactive
18,2024,2024-09-06,1,1,,PHI,,GNB,W 34-29,Inactive
19,2024,2024-09-16,2,2,,PHI,,ATL,L 21-22,Inactive
20,2024,2024-09-22,3,3,,PHI,@,NOR,W 15-12,Inactive
21,2024,2024-09-29,4,4,,PHI,@,TAM,L 16-33,Inactive
22,2024,2024-10-13,5,6,,PHI,,CLE,W 20-16,Inactive
23,2024,2024-10-20,6,7,,PHI,@,NYG,W 28-3,Inactive
24,2024,2024-10-27,7,8,,PHI,@,CIN,W 37-17,Inactive
25,2024,2024-11-03,8,9,,PHI,,JAX,W 28-23,Inactive
26,2024,2024-11-10,9,10,,PHI,@,DAL,W 34-6,Inactive
27,2024,2024-11-14,10,11,,PHI,,WAS,W 26-18,Inactive
