Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Ret,Yds,Y/R,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-06,1.0,1.0,21.257,PHI,,GNB,W 34-29,,,,,,,,,,,,0.0,0%,0.0,0%,15.0,48%
2.0,2024.0,2024-09-16,2.0,2.0,21.267,PHI,,ATL,L 21-22,,0.0,0.0,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0%,0.0,0%,15.0,68%
3.0,2024.0,2024-09-22,3.0,3.0,21.273,PHI,@,NOR,W 15-12,,,,,,,,,,,,0.0,0%,0.0,0%,9.0,54%
4.0,2024.0,2024-09-29,4.0,4.0,21.28,PHI,@,TAM,L 16-33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,3.0,4%,14.0,52%
5.0,2024.0,2024-10-13,5.0,6.0,21.294,PHI,,CLE,W 20-16,,,,,,,,,,,,0.0,0%,0.0,0%,14.0,52%
6.0,2024.0,2024-10-20,6.0,7.0,21.301,PHI,@,NYG,W 28-3,,0.0,0.0,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0%,9.0,16%,26.0,81%
7.0,2024.0,2024-10-27,7.0,8.0,21.308,PHI,@,CIN,W 37-17,,,,,,,,,,,,0.0,0%,3.0,5%,13.0,54%
8.0,2024.0,2024-11-03,8.0,9.0,21.315,PHI,,JAX,W 28-23,,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0%,0.0,0%,17.0,74%
9.0,2024.0,2024-11-10,9.0,10.0,21.322,PHI,@,DAL,W 34-6,,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0%,8.0,13%,20.0,71%
10.0,2024.0,2024-11-14,10.0,11.0,21.326,PHI,,WAS,W 26-18,,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0%,0.0,0%,16.0,59%
