Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,TD,PD,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2010,2010-09-12,1,1,22.162,PHI,,GNB,L 20-27,*,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,
2,2010,2010-09-19,2,2,22.169,PHI,@,DET,W 35-32,*,0,0,,0,0,0,1.0,2,0,2,1,2,0,0,0,0,0,,0,0,0,0,,,,,,,
3,2010,2010-09-26,3,3,22.176,PHI,@,JAX,W 28-3,*,0,0,,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,,,,,,
4,2010,2010-10-03,4,4,22.183,PHI,,WAS,L 12-17,*,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
5,2010,2010-10-10,5,5,22.190,PHI,@,SFO,W 27-24,,0,0,,0,0,0,1.0,2,0,2,1,0,0,0,0,0,0,,1,0,0,0,,,,,,,
6,2010,2010-10-17,6,6,22.197,PHI,,ATL,W 31-17,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
7,2010,2010-10-24,7,7,22.204,PHI,@,TEN,L 19-37,,,,,,0,0,0.0,,,,,,,,,,0,,,0,0,0,,,,,,,
8,2010,2010-11-07,8,9,22.218,PHI,,IND,W 26-24,,,,,,0,0,0.0,0,0,0,0,2,,,,0,0,,0,0,0,0,,,,,,,
9,2010,2010-11-15,9,10,22.226,PHI,@,WAS,W 59-28,,0,0,,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,,,,,,
10,2010,2010-11-21,10,11,22.232,PHI,,NYG,W 27-17,,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,,1,0,0,0,,,,,,,
11,2010,2010-11-28,11,12,22.239,PHI,@,CHI,L 26-31,*,0,0,,0,0,0,1.0,3,0,3,1,1,0,0,0,0,0,,0,0,0,0,,,,,,,
12,2010,2010-12-02,12,13,22.243,PHI,,HOU,W 34-24,*,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
13,2010,2010-12-12,13,14,22.253,PHI,@,DAL,W 30-27,,,,,,0,0,0.0,0,0,0,0,1,,,,0,0,,0,0,0,0,,,,,,,
14,2010,2010-12-19,,15,,PHI,@,NYG,W 38-31,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,2010,2010-12-28,,16,,PHI,,MIN,L 14-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2010,2011-01-02,,17,,PHI,,DAL,L 13-14,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2011,2011-09-11,,1,,PHI,@,STL,W 31-13,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform
18,2011,2011-09-18,,2,,PHI,@,ATL,L 31-35,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform
19,2011,2011-09-25,,3,,PHI,,NYG,L 16-29,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform
