Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2022,2022-11-27,11,12,22.093,LAR,@,KAN,L 10-26,,11,35,3.18,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,70%,0,0%,5,21%,
12,2022,2022-12-04,12,13,22.100,LAR,,SEA,L 23-27,,3,9,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,18,28%,0,0%,1,4%,
13,2022,2022-12-08,13,14,22.104,LAR,,LVR,W 17-16,,3,19,6.33,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,30%,0,0%,3,12%,
14,2022,2022-12-19,14,15,22.115,LAR,@,GNB,L 12-24,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,9%,0,0%,4,19%,
15,2022,2022-12-25,15,16,22.121,LAR,,DEN,W 51-14,,6,18,3.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,12%,0,0%,2,8%,
16,2022,2023-01-01,16,17,22.128,LAR,@,LAC,L 10-31,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,6%,0,0%,8,32%,
17,2022,2023-01-08,17,18,22.135,LAR,@,SEA,L 16-19,,,,,,,,,,,0.0%,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,16,48%,
18,2023,2023-09-10,1,1,23.015,LAR,@,SEA,W 30-13,,15,52,3.47,2,2,0,2,,0,0.0%,1.00,1,8,8.00,0,1,7,7.00,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,53,65%,0,0%,8,29%,
19,2023,2023-09-17,2,2,23.022,LAR,,SFO,L 23-30,*,14,52,3.71,1,10,6,48,8.00,1,60.0%,4.80,0,0,,0,1,11,11.00,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,76,95%,0,0%,4,14%,
20,2023,2023-09-25,3,3,23.030,LAR,@,CIN,L 16-19,*,10,38,3.80,0,7,2,27,13.50,0,28.6%,3.86,0,0,,0,1,3,3.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,6,19%,
21,2023,2023-10-01,4,4,23.036,LAR,@,IND,W 29-23,*,25,103,4.12,2,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,1,0,0,0,0,0,59,72%,0,0%,0,0%,
22,2023,2023-10-08,5,5,23.043,LAR,,PHI,L 14-23,*,13,53,4.08,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,84%,0,0%,0,0%,
23,2023,2023-10-15,6,6,23.050,LAR,,ARI,W 26-9,*,20,158,7.90,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,82%,0,0%,0,0%,
24,2023,2023-10-22,7,7,,LAR,,PIT,L 17-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,2023,2023-10-29,8,8,,LAR,@,DAL,L 20-43,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,2023,2023-11-05,9,9,,LAR,@,GNB,L 3-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2023,2023-11-19,10,11,,LAR,,SEA,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2023,2023-11-26,11,12,23.092,LAR,@,ARI,W 37-14,*,16,143,8.94,0,6,6,61,10.17,2,100.0%,10.17,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,41,61%,0,0%,0,0%,
29,2023,2023-12-03,12,13,23.099,LAR,,CLE,W 36-19,*,21,88,4.19,1,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,94%,0,0%,1,3%,
30,2023,2023-12-10,13,14,23.106,LAR,@,BAL,L 31-37,*,25,114,4.56,0,4,3,-1,-0.33,0,75.0%,-0.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,90%,0,0%,1,3%,
31,2023,2023-12-17,14,15,23.113,LAR,,WAS,W 28-20,*,27,152,5.63,1,7,5,3,0.60,0,71.4%,0.43,0,0,,0,0,0,,0,1,1,8,0.0,0,0,0,0,0,2,2,0,0,0,0,58,77%,0,0%,2,7%,
32,2023,2023-12-21,15,16,23.117,LAR,,NOR,W 30-22,*,22,104,4.73,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,79%,0,0%,2,8%,
33,2023,2023-12-31,16,17,23.127,LAR,@,NYG,W 26-25,*,20,87,4.35,3,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,58,94%,0,0%,1,3%,
34,2023,2024-01-07,17,18,,LAR,@,SFO,W 21-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2024,2024-09-08,1,1,24.013,LAR,@,DET,L 20-26,*,18,50,2.78,1,3,3,4,1.33,0,100.0%,1.33,0,0,,0,1,0,0.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,91%,0,0%,4,15%,
36,2024,2024-09-15,2,2,24.020,LAR,@,ARI,L 10-41,*,12,25,2.08,1,5,4,27,6.75,0,80.0%,5.40,0,0,,0,1,12,12.00,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,79%,0,0%,1,4%,
37,2024,2024-09-22,3,3,24.027,LAR,,SFO,W 27-24,*,24,89,3.71,2,2,2,27,13.50,1,100.0%,13.50,0,0,,0,0,0,,0,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,52,90%,0,0%,0,0%,
38,2024,2024-09-29,4,4,24.034,LAR,@,CHI,L 18-24,*,19,94,4.95,1,4,4,10,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,79%,0,0%,0,0%,
39,2024,2024-10-06,5,5,24.041,LAR,,GNB,L 19-24,*,22,102,4.64,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,67,86%,0,0%,0,0%,
40,2024,2024-10-20,6,7,24.055,LAR,,LVR,W 20-15,*,21,76,3.62,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,49,89%,0,0%,0,0%,
41,2024,2024-10-24,7,8,24.059,LAR,,MIN,W 30-20,*,23,97,4.22,0,7,5,19,3.80,1,71.4%,2.71,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,89%,0,0%,1,4%,
42,2024,2024-11-03,8,9,24.069,LAR,@,SEA,W 26-20,*,22,69,3.14,0,3,1,26,26.00,0,33.3%,8.67,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,76,99%,0,0%,0,0%,
43,2024,2024-11-11,9,10,24.077,LAR,,MIA,L 15-23,*,15,62,4.13,0,6,5,20,4.00,0,83.3%,3.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,65,93%,0,0%,0,0%,
44,2024,2024-11-17,10,11,24.083,LAR,@,NWE,W 28-22,*,15,86,5.73,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,81%,0,0%,0,0%,
45,2024,2024-11-24,11,12,24.090,LAR,,PHI,L 20-37,*,16,72,4.50,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,0,0,2,1,0,0,0,0,58,91%,0,0%,0,0%,
