gameId,season,week,gameDate,gameTimeEastern,homeTeamAbbr,visitorTeamAbbr,homeFinalScore,visitorFinalScore,Result
2018090600,2018,1,9/6/2018,20:20:00,PHI,ATL,18,12,PHI
2018090900,2018,1,9/9/2018,13:00:00,BAL,BUF,47,3,BAL
2018090901,2018,1,9/9/2018,13:00:00,CLE,PIT,21,21,Draw
2018090902,2018,1,9/9/2018,13:00:00,IND,CIN,23,34,CIN
2018090903,2018,1,9/9/2018,13:00:00,MIA,TEN,27,20,MIA
2018090905,2018,1,9/9/2018,13:00:00,NE,HOU,27,20,NE
2018090906,2018,1,9/9/2018,13:00:00,NO,TB,40,48,TB
2018090907,2018,1,9/9/2018,13:00:00,NYG,JAX,15,20,JAX
2018090909,2018,1,9/9/2018,16:25:00,ARI,WAS,6,24,WAS
2018090910,2018,1,9/9/2018,16:25:00,CAR,DAL,16,8,CAR
2018090912,2018,1,9/9/2018,20:20:00,GB,CHI,24,23,GB
2018091000,2018,1,9/10/2018,19:10:00,DET,NYJ,17,48,NYJ
2018091001,2018,1,9/10/2018,22:20:00,OAK,LA,13,33,LA
2018091300,2018,2,9/13/2018,20:20:00,CIN,BAL,34,23,CIN
2018091600,2018,2,9/16/2018,13:00:00,ATL,CAR,31,24,ATL
2018091601,2018,2,9/16/2018,13:00:00,BUF,LAC,20,31,LAC
2018091602,2018,2,9/16/2018,13:00:00,GB,MIN,29,29,Draw
2018091603,2018,2,9/16/2018,13:00:00,NO,CLE,21,18,NO
2018091604,2018,2,9/16/2018,13:00:00,NYJ,MIA,12,20,MIA
2018091605,2018,2,9/16/2018,13:00:00,PIT,KC,42,37,PIT
2018091606,2018,2,9/16/2018,13:00:00,TB,PHI,27,21,TB
2018091607,2018,2,9/16/2018,13:00:00,TEN,HOU,20,17,TEN
2018091608,2018,2,9/16/2018,13:00:00,WAS,IND,9,21,IND
2018091609,2018,2,9/16/2018,16:05:00,LA,ARI,34,0,LA
2018091610,2018,2,9/16/2018,16:05:00,SF,DET,30,27,SF
2018091611,2018,2,9/16/2018,16:25:00,DEN,OAK,20,19,DEN
2018091612,2018,2,9/16/2018,16:25:00,JAX,NE,31,20,JAX
2018091613,2018,2,9/16/2018,20:20:00,DAL,NYG,20,13,DAL
2018091700,2018,2,9/17/2018,20:15:00,CHI,SEA,24,17,CHI
2018092000,2018,3,9/20/2018,20:20:00,CLE,NYJ,17,21,NYJ
2018092300,2018,3,9/23/2018,13:00:00,ATL,NO,37,43,NO
2018092301,2018,3,9/23/2018,13:00:00,BAL,DEN,27,14,BAL
2018092302,2018,3,9/23/2018,13:00:00,CAR,CIN,31,21,CAR
2018092303,2018,3,9/23/2018,13:00:00,HOU,NYG,27,22,HOU
2018092304,2018,3,9/23/2018,13:00:00,JAX,TEN,6,9,TEN
2018092305,2018,3,9/23/2018,13:00:00,KC,SF,38,27,KC
2018092306,2018,3,9/23/2018,13:00:00,MIA,OAK,28,20,MIA
2018092307,2018,3,9/23/2018,13:00:00,MIN,BUF,6,27,BUF
2018092308,2018,3,9/23/2018,13:00:00,PHI,IND,20,16,PHI
2018092309,2018,3,9/23/2018,13:00:00,WAS,GB,31,17,WAS
2018092310,2018,3,9/23/2018,16:05:00,LA,LAC,23,35,LAC
2018092311,2018,3,9/23/2018,16:25:00,ARI,CHI,14,16,CHI
2018092312,2018,3,9/23/2018,16:25:00,SEA,DAL,24,13,SEA
2018092313,2018,3,9/23/2018,20:20:00,DET,NE,26,10,DET
2018092400,2018,3,9/24/2018,20:15:00,TB,PIT,30,27,TB
