Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2022,2022-11-24,11,12,,DET,,BUF,L 25-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2022,2022-12-04,12,13,21.253,DET,,JAX,W 40-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,
13,2022,2022-12-11,13,14,21.260,DET,,MIN,W 34-23,,2,1,41,41.00,1,50.0%,20.50,0,0,,0,1,6,0,0,0,0,0,0,13,19%,0,0%,1,3%,
14,2022,2022-12-18,14,15,21.267,DET,@,NYJ,W 20-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,13,19%,0,0%,0,0%,
15,2022,2022-12-24,15,16,21.273,DET,@,CAR,L 23-37,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,11,17%,0,0%,0,0%,
16,2022,2023-01-01,16,17,21.281,DET,,CHI,W 41-10,,3,0,0,,0,0.0%,0.00,1,40,40.00,0,0,0,0,0,0,0,0,0,18,25%,0,0%,0,0%,
17,2022,2023-01-08,17,18,21.288,DET,@,GNB,W 20-16,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,15,24%,0,0%,0,0%,
18,2023,2023-09-07,1,1,,DET,@,KAN,W 21-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2023,2023-09-17,2,2,,DET,,SEA,L 31-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2023,2023-09-24,3,3,,DET,,ATL,W 20-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,2023,2023-09-28,4,4,,DET,@,GNB,W 34-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,2023,2023-10-08,5,5,22.196,DET,,CAR,W 42-24,,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,0,0,0,0,0,0,28,47%,0,0%,2,7%,
23,2023,2023-10-15,6,6,22.203,DET,@,TAM,W 20-6,,3,2,53,26.50,1,66.7%,17.67,0,0,,0,1,6,0,0,0,0,0,0,16,23%,0,0%,0,0%,
24,2023,2023-10-22,7,7,22.210,DET,@,BAL,L 6-38,*,6,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,33,44%,0,0%,0,0%,
25,2023,2023-10-30,8,8,22.218,DET,,LVR,W 26-14,*,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,0,0,0,0,0,0,34,40%,0,0%,0,0%,
26,2023,2023-11-12,9,10,22.231,DET,@,LAC,W 41-38,*,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,0,0,0,0,0,0,34,52%,0,0%,0,0%,
27,2023,2023-11-19,10,11,22.238,DET,,CHI,W 31-26,*,3,2,44,22.00,1,66.7%,14.67,0,0,,0,1,6,0,0,0,0,0,0,40,65%,0,0%,0,0%,
28,2023,2023-11-23,11,12,22.242,DET,,GNB,L 22-29,*,3,2,51,25.50,0,66.7%,17.00,0,0,,0,0,0,0,0,0,0,0,0,53,63%,0,0%,0,0%,
29,2023,2023-12-03,12,13,22.252,DET,@,NOR,W 33-28,*,1,1,11,11.00,0,100.0%,11.00,1,19,19.00,1,1,6,0,0,0,0,0,0,33,57%,0,0%,0,0%,
30,2023,2023-12-10,13,14,22.259,DET,@,CHI,L 13-28,*,2,0,0,,0,0.0%,0.00,1,4,4.00,0,0,0,0,0,0,0,0,0,38,58%,0,0%,0,0%,
31,2023,2023-12-16,14,15,22.265,DET,,DEN,W 42-17,*,7,4,47,11.75,0,57.1%,6.71,0,0,,0,0,0,0,0,0,0,0,0,45,68%,0,0%,0,0%,
32,2023,2023-12-24,15,16,22.273,DET,@,MIN,W 30-24,*,6,5,43,8.60,0,83.3%,7.17,0,0,,0,0,0,1,0,0,0,0,0,46,58%,0,0%,0,0%,
33,2023,2023-12-30,16,17,22.279,DET,@,DAL,L 19-20,*,3,2,69,34.50,0,66.7%,23.00,1,6,6.00,0,0,0,0,0,0,0,0,0,44,64%,0,0%,0,0%,
34,2023,2024-01-07,17,18,,DET,,MIN,W 30-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,2024,2024-09-08,1,1,23.166,DET,,LAR,W 26-20,*,9,5,121,24.20,1,55.6%,13.44,1,13,13.00,0,1,6,0,0,0,0,0,0,52,85%,0,0%,0,0%,
36,2024,2024-09-15,2,2,23.173,DET,,TAM,L 16-20,*,11,5,79,15.80,0,45.5%,7.18,1,15,15.00,0,0,0,0,0,0,0,0,0,78,91%,0,0%,0,0%,
37,2024,2024-09-22,3,3,23.180,DET,@,ARI,W 20-13,,3,1,9,9.00,0,33.3%,3.00,1,-7,-7.00,0,0,0,0,0,0,0,0,0,48,71%,0,0%,0,0%,
38,2024,2024-09-30,4,4,23.188,DET,,SEA,W 42-29,*,2,2,80,40.00,1,100.0%,40.00,0,0,,0,1,6,0,0,0,0,0,0,51,96%,0,0%,0,0%,
39,2024,2024-10-13,5,6,23.201,DET,@,DAL,W 47-9,*,4,3,76,25.33,1,75.0%,19.00,1,11,11.00,0,1,6,0,0,0,0,0,0,51,75%,0,0%,0,0%,
40,2024,2024-10-20,6,7,23.208,DET,@,MIN,W 31-29,,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0,0,0,0,0,0,0,43,75%,0,0%,0,0%,
41,2024,2024-10-27,7,8,,DET,,TEN,W 52-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,2024,2024-11-03,8,9,,DET,@,GNB,W 24-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,2024,2024-11-10,9,10,23.229,DET,@,HOU,W 26-23,*,5,3,53,17.67,0,60.0%,10.60,0,0,,0,0,0,0,0,0,0,0,0,48,74%,0,0%,0,0%,
44,2024,2024-11-17,10,11,23.236,DET,,JAX,W 52-6,,6,4,124,31.00,1,66.7%,20.67,1,2,2.00,0,1,6,0,0,0,0,0,0,51,65%,0,0%,0,0%,
45,2024,2024-11-24,11,12,23.243,DET,@,IND,W 24-6,*,7,5,64,12.80,0,71.4%,9.14,1,4,4.00,0,0,0,0,0,0,0,0,0,60,83%,0,0%,0,0%,
