Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
16,2017,2017-12-31,,17,,GNB,@,DET,L 11-35,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,2018,2018-09-09,,1,,GNB,,CHI,W 24-23,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
18,2018,2018-09-16,,2,,GNB,,MIN,T 29-29,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
19,2018,2018-09-23,3,3,23.295,GNB,@,WAS,L 17-31,,6,42,7.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,17,25%,0,0%,7,24%,
20,2018,2018-09-30,4,4,23.302,GNB,,BUF,W 22-0,,11,65,5.91,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,,1,6,0,0,0,0,0,0,29,38%,0,0%,1,4%,
21,2018,2018-10-07,5,5,23.309,GNB,@,DET,L 23-31,,7,40,5.71,0,3,2,19,9.50,0,66.7%,6.33,0,0,,0,,0,0,0,0,0,0,0,0,22,27%,0,0%,3,11%,
22,2018,2018-10-15,6,6,23.317,GNB,,SFO,W 33-30,*,8,41,5.13,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,19,27%,0,0%,3,9%,
23,2018,2018-10-28,7,8,23.330,GNB,@,LAR,L 27-29,*,12,86,7.17,1,2,2,0,0.00,0,100.0%,0.00,0,0,,0,,1,6,0,0,0,0,0,0,32,62%,0,0%,2,6%,
24,2018,2018-11-04,8,9,23.337,GNB,@,NWE,L 17-31,*,14,75,5.36,0,4,2,10,5.00,0,50.0%,2.50,0,0,,0,,0,0,1,1,0,0,0,0,43,58%,0,0%,2,7%,
25,2018,2018-11-11,9,10,23.344,GNB,,MIA,W 31-12,*,15,145,9.67,2,5,3,27,9.00,0,60.0%,5.40,0,0,,0,,2,12,0,0,0,0,0,0,42,74%,0,0%,0,0%,
26,2018,2018-11-15,10,11,23.348,GNB,@,SEA,L 24-27,*,11,40,3.64,1,6,5,63,12.60,1,83.3%,10.50,0,0,,0,,2,12,0,0,0,0,0,0,44,90%,0,0%,0,0%,
27,2018,2018-11-25,11,12,23.358,GNB,@,MIN,L 17-24,*,17,72,4.24,1,5,3,21,7.00,0,60.0%,4.20,0,0,,0,,1,6,0,0,0,0,0,0,40,75%,0,0%,0,0%,
28,2018,2018-12-02,12,13,24.000,GNB,,ARI,L 17-20,*,11,36,3.27,1,4,4,16,4.00,0,100.0%,4.00,0,0,,0,,1,6,0,0,0,0,0,0,39,51%,0,0%,0,0%,
29,2018,2018-12-09,13,14,24.007,GNB,,ATL,W 34-20,,17,78,4.59,1,3,3,28,9.33,0,100.0%,9.33,0,0,,0,,1,6,0,0,0,0,0,0,42,65%,0,0%,1,4%,
30,2018,2018-12-16,14,15,24.014,GNB,@,CHI,L 17-24,*,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,7,10%,0,0%,0,0%,
31,2018,2018-12-23,,16,,GNB,@,NYJ,W 44-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
32,2018,2018-12-30,,17,,GNB,,DET,L 0-31,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
33,2019,2019-09-05,1,1,24.277,GNB,@,CHI,W 10-3,*,13,39,3.00,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,,0,0,1,0,0,1,0,0,37,61%,0,0%,0,0%,
34,2019,2019-09-15,2,2,24.287,GNB,,MIN,W 21-16,*,23,116,5.04,1,6,4,34,8.50,0,66.7%,5.67,0,0,,0,,1,6,0,0,0,0,0,0,42,59%,0,0%,0,0%,
35,2019,2019-09-22,3,3,24.294,GNB,,DEN,W 27-16,*,10,19,1.90,2,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,2,12,0,0,0,0,0,0,21,39%,0,0%,0,0%,
36,2019,2019-09-26,4,4,24.298,GNB,,PHI,L 27-34,*,13,21,1.62,1,7,6,37,6.17,0,85.7%,5.29,0,0,,0,,1,6,0,0,0,0,0,0,66,84%,0,0%,0,0%,
37,2019,2019-10-06,5,5,24.308,GNB,@,DAL,W 34-24,*,19,107,5.63,4,8,7,75,10.71,0,87.5%,9.38,0,0,,0,,4,24,0,0,0,0,0,0,48,67%,0,0%,0,0%,
38,2019,2019-10-14,6,6,24.316,GNB,,DET,W 23-22,*,11,47,4.27,0,7,4,13,3.25,0,57.1%,1.86,0,0,,0,,0,0,1,1,0,0,0,0,36,49%,0,0%,0,0%,
39,2019,2019-10-20,7,7,24.322,GNB,,OAK,W 42-24,*,12,50,4.17,0,4,4,33,8.25,1,100.0%,8.25,0,0,,0,,1,6,0,0,0,0,0,0,33,57%,0,0%,0,0%,
40,2019,2019-10-27,8,8,24.329,GNB,@,KAN,W 31-24,*,13,67,5.15,0,8,7,159,22.71,2,87.5%,19.88,0,0,,0,,2,12,0,0,0,0,0,0,42,63%,0,0%,0,0%,
41,2019,2019-11-03,9,9,24.336,GNB,@,LAC,L 11-26,*,8,30,3.75,0,3,1,-1,-1.00,0,33.3%,-0.33,0,0,,0,,0,0,0,0,0,0,0,0,30,60%,0,0%,0,0%,
42,2019,2019-11-10,10,10,24.343,GNB,,CAR,W 24-16,*,13,93,7.15,3,0,0,0,,0,0.0%,,0,0,,0,,3,18,0,0,0,0,0,0,32,50%,0,0%,0,0%,
43,2019,2019-11-24,11,12,24.357,GNB,@,SFO,L 8-37,*,13,38,2.92,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,41,52%,0,0%,0,0%,
44,2019,2019-12-01,12,13,24.364,GNB,@,NYG,W 31-13,*,11,18,1.64,0,6,4,13,3.25,0,66.7%,2.17,0,0,,0,,0,0,0,0,0,0,0,0,38,58%,0,0%,0,0%,
45,2019,2019-12-08,13,14,25.006,GNB,,WAS,W 20-15,*,16,134,8.38,1,7,6,58,9.67,0,85.7%,8.29,0,0,,0,,1,6,0,0,0,0,0,0,35,58%,0,0%,0,0%,
46,2019,2019-12-15,14,15,25.013,GNB,,CHI,W 21-13,*,13,51,3.92,2,0,0,0,,0,0.0%,,0,0,,0,,2,12,0,0,0,0,0,0,35,59%,0,0%,0,0%,
47,2019,2019-12-23,15,16,25.021,GNB,@,MIN,W 23-10,*,23,154,6.70,2,3,2,6,3.00,0,66.7%,2.00,0,0,,0,,2,12,1,1,0,0,0,0,52,68%,0,0%,0,0%,
48,2019,2019-12-29,16,17,25.027,GNB,@,DET,W 23-20,*,25,100,4.00,0,6,2,43,21.50,0,33.3%,7.17,0,0,,0,,0,0,0,0,0,0,0,0,75,85%,0,0%,0,0%,
49,2020,2020-09-13,1,1,25.286,GNB,@,MIN,W 43-34,*,16,66,4.13,1,6,4,10,2.50,0,66.7%,1.67,0,0,,0,,1,6,1,0,0,0,0,0,42,54%,0,0%,0,0%,
50,2020,2020-09-20,2,2,25.293,GNB,,DET,W 42-21,*,18,168,9.33,2,8,4,68,17.00,1,50.0%,8.50,0,0,,0,,3,18,0,0,0,0,0,0,35,48%,0,0%,0,0%,
51,2020,2020-09-27,3,3,25.300,GNB,@,NOR,W 37-30,*,16,69,4.31,1,4,2,17,8.50,0,50.0%,4.25,0,0,,0,,1,6,0,0,0,0,0,0,44,71%,0,0%,0,0%,
52,2020,2020-10-05,4,4,25.308,GNB,,ATL,W 30-16,*,15,71,4.73,0,5,5,40,8.00,1,100.0%,8.00,0,0,,0,,1,6,0,0,0,0,0,0,33,52%,0,0%,0,0%,
53,2020,2020-10-18,5,6,25.321,GNB,@,TAM,L 10-38,*,10,15,1.50,1,5,3,26,8.67,0,60.0%,5.20,0,0,,0,,1,6,0,0,0,0,0,0,36,57%,0,0%,0,0%,
54,2020,2020-10-25,6,7,,GNB,@,HOU,W 35-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,2020,2020-11-01,7,8,,GNB,,MIN,L 22-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,2020,2020-11-05,8,9,25.339,GNB,@,SFO,W 34-17,*,15,58,3.87,0,5,5,21,4.20,0,100.0%,4.20,0,0,,0,,0,0,0,0,0,0,0,0,40,61%,0,0%,0,0%,
57,2020,2020-11-15,9,10,25.349,GNB,,JAX,W 24-20,*,13,46,3.54,0,6,5,49,9.80,0,83.3%,8.17,0,0,,0,,0,0,1,0,0,0,0,0,41,63%,0,0%,0,0%,
58,2020,2020-11-22,10,11,25.356,GNB,@,IND,L 31-34,*,10,41,4.10,1,4,4,30,7.50,0,100.0%,7.50,0,0,,0,,1,6,0,0,0,0,0,0,30,50%,0,0%,0,0%,
59,2020,2020-11-29,11,12,25.363,GNB,,CHI,W 41-25,*,17,90,5.29,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,38,54%,0,0%,0,0%,
60,2020,2020-12-06,12,13,26.004,GNB,,PHI,W 30-16,*,15,130,8.67,1,3,3,18,6.00,0,100.0%,6.00,0,0,,0,,1,6,0,0,0,1,0,0,40,66%,0,0%,0,0%,
61,2020,2020-12-13,13,14,26.011,GNB,@,DET,W 31-24,*,15,69,4.60,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,,0,0,0,0,0,0,0,0,47,70%,0,0%,0,0%,
62,2020,2020-12-19,14,15,26.017,GNB,,CAR,W 24-16,*,20,145,7.25,1,4,3,13,4.33,0,75.0%,3.25,0,0,,0,,1,6,0,0,0,0,0,0,56,90%,0,0%,0,0%,
63,2020,2020-12-27,15,16,26.025,GNB,,TEN,W 40-14,*,10,94,9.40,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,0,0,0,0,0,0,0,0,25,38%,0,0%,0,0%,
64,2020,2021-01-03,16,17,26.032,GNB,@,CHI,W 35-16,*,11,42,3.82,1,5,4,43,10.75,0,80.0%,8.60,0,0,,0,,1,6,0,0,0,0,0,0,32,70%,0,0%,0,0%,
65,2021,2021-09-12,1,1,26.284,GNB,@,NOR,L 3-38,*,5,9,1.80,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0,0,0,0,0,0,0,28,49%,0,0%,0,0%,
66,2021,2021-09-20,2,2,26.292,GNB,,DET,W 35-17,*,17,67,3.94,1,6,6,48,8.00,3,100.0%,8.00,0,0,,0,,4,24,0,0,0,0,0,0,45,69%,0,0%,0,0%,
67,2021,2021-09-26,3,3,26.298,GNB,@,SFO,W 30-28,*,19,82,4.32,1,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,1,6,1,0,0,0,0,0,46,73%,0,0%,0,0%,
68,2021,2021-10-03,4,4,26.305,GNB,,PIT,W 27-17,*,15,48,3.20,0,4,3,51,17.00,0,75.0%,12.75,1,10,10.00,0,,0,0,1,1,0,0,0,0,45,63%,0,0%,1,4%,
69,2021,2021-10-10,5,5,26.312,GNB,@,CIN,W 25-22,*,14,103,7.36,0,5,4,6,1.50,0,80.0%,1.20,0,0,,0,,0,0,0,0,0,0,0,0,44,69%,0,0%,0,0%,
70,2021,2021-10-17,6,6,26.319,GNB,@,CHI,W 24-14,*,13,76,5.85,0,4,4,34,8.50,1,100.0%,8.50,0,0,,0,,1,6,0,0,0,0,0,0,35,59%,0,0%,0,0%,
71,2021,2021-10-24,7,7,26.326,GNB,,WAS,W 24-10,*,6,19,3.17,0,5,5,20,4.00,0,100.0%,4.00,0,0,,0,,0,0,0,0,0,0,0,0,41,73%,0,0%,1,5%,
72,2021,2021-10-28,8,8,26.330,GNB,@,ARI,W 24-21,*,15,59,3.93,1,11,7,51,7.29,0,63.6%,4.64,0,0,,0,,1,6,0,0,0,0,0,0,48,66%,0,0%,0,0%,
73,2021,2021-11-07,9,9,26.340,GNB,@,KAN,L 7-13,*,12,53,4.42,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,40,63%,0,0%,0,0%,
74,2021,2021-11-14,10,10,26.347,GNB,,SEA,W 17-0,*,7,25,3.57,0,6,4,61,15.25,0,66.7%,10.17,0,0,,0,,0,0,0,0,0,0,0,0,34,46%,0,0%,0,0%,
75,2021,2021-11-21,11,11,,GNB,@,MIN,L 31-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
76,2021,2021-11-28,12,12,26.361,GNB,,LAR,W 36-28,*,10,23,2.30,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,40,49%,0,0%,0,0%,
77,2021,2021-12-12,13,14,27.010,GNB,,CHI,W 45-30,*,5,35,7.00,1,3,3,30,10.00,1,100.0%,10.00,0,0,,0,,2,12,0,0,0,0,0,0,29,45%,0,0%,0,0%,
78,2021,2021-12-19,14,15,27.017,GNB,@,BAL,W 31-30,*,13,58,4.46,0,2,2,12,6.00,1,100.0%,6.00,1,9,9.00,0,,1,6,0,0,0,0,0,0,39,63%,0,0%,2,8%,
79,2021,2021-12-25,15,16,27.023,GNB,,CLE,W 24-22,*,12,66,5.50,0,6,5,21,4.20,0,83.3%,3.50,0,0,,0,,0,0,0,0,0,0,0,0,33,56%,0,0%,0,0%,
80,2021,2022-01-02,16,17,27.031,GNB,,MIN,W 37-10,*,8,76,9.50,0,6,5,30,6.00,0,83.3%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,31,41%,0,0%,0,0%,
81,2021,2022-01-09,17,18,,GNB,@,DET,L 30-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,2022,2022-09-11,1,1,27.283,GNB,@,MIN,L 7-23,*,5,49,9.80,0,5,3,27,9.00,0,60.0%,5.40,0,0,,0,,0,0,0,0,0,0,0,0,37,61%,0,0%,0,0%,
83,2022,2022-09-18,2,2,27.290,GNB,,CHI,W 27-10,*,15,132,8.80,1,3,3,38,12.67,1,100.0%,12.67,0,0,,0,,2,12,0,0,0,0,0,0,40,59%,0,0%,0,0%,
84,2022,2022-09-25,3,3,27.297,GNB,@,TAM,W 14-12,*,12,36,3.00,0,4,3,11,3.67,0,75.0%,2.75,0,0,,0,,0,0,1,1,0,0,0,0,39,63%,0,0%,1,4%,
85,2022,2022-10-02,4,4,27.304,GNB,,NWE,W 27-24,*,16,110,6.88,0,4,3,5,1.67,0,75.0%,1.25,0,0,,0,,0,0,0,0,0,0,0,0,45,62%,0,0%,0,0%,
86,2022,2022-10-09,5,5,27.311,GNB,,NYG,L 22-27,*,13,63,4.85,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,,0,0,0,0,0,0,0,0,46,73%,0,0%,0,0%,
87,2022,2022-10-16,6,6,27.318,GNB,,NYJ,L 10-27,*,9,19,2.11,0,4,3,25,8.33,0,75.0%,6.25,0,0,,0,,0,0,0,0,0,1,0,0,41,56%,0,0%,0,0%,
88,2022,2022-10-23,7,7,27.325,GNB,@,WAS,L 21-23,*,8,23,2.88,0,10,9,53,5.89,2,90.0%,5.30,0,0,,0,,2,12,0,0,0,0,0,0,40,74%,0,0%,0,0%,
89,2022,2022-10-30,8,8,27.332,GNB,@,BUF,L 17-27,*,20,143,7.15,0,5,4,14,3.50,0,80.0%,2.80,0,0,,0,,0,0,0,0,0,0,0,0,44,67%,0,0%,0,0%,
90,2022,2022-11-06,9,9,27.339,GNB,@,DET,L 9-15,*,9,25,2.78,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,,0,0,0,0,0,0,0,0,30,41%,0,0%,0,0%,
91,2022,2022-11-13,10,10,27.346,GNB,,DAL,W 31-28,*,24,138,5.75,1,2,2,18,9.00,0,100.0%,9.00,0,0,,0,,1,6,1,0,0,1,0,0,45,70%,0,0%,0,0%,
92,2022,2022-11-17,11,11,27.350,GNB,,TEN,L 17-27,*,12,40,3.33,0,7,6,20,3.33,0,85.7%,2.86,0,0,,0,1,0,2,1,0,0,0,0,0,40,66%,0,0%,0,0%,
93,2022,2022-11-27,12,12,27.360,GNB,@,PHI,L 33-40,*,12,43,3.58,0,4,3,56,18.67,1,75.0%,14.00,0,0,,0,,1,6,0,0,0,0,0,0,35,71%,0,0%,0,0%,
94,2022,2022-12-04,13,13,28.002,GNB,@,CHI,W 28-19,*,9,26,2.89,0,5,5,24,4.80,0,100.0%,4.80,0,0,,0,,0,0,0,0,0,0,0,0,25,38%,0,0%,0,0%,
95,2022,2022-12-19,14,15,28.017,GNB,,LAR,W 24-12,*,17,90,5.29,0,5,4,36,9.00,1,80.0%,7.20,0,0,,0,,1,6,1,1,0,0,0,0,40,56%,0,0%,0,0%,
96,2022,2022-12-25,15,16,28.023,GNB,@,MIA,W 26-20,*,6,25,4.17,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,0,0,0,0,0,0,0,0,25,38%,0,0%,0,0%,
97,2022,2023-01-01,16,17,28.030,GNB,,MIN,W 41-17,*,14,111,7.93,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,,0,0,0,0,0,0,0,0,25,40%,0,0%,2,7%,
98,2022,2023-01-08,17,18,28.037,GNB,,DET,L 16-20,*,12,48,4.00,0,4,3,20,6.67,0,75.0%,5.00,0,0,,0,,0,0,1,1,0,0,0,0,33,55%,0,0%,0,0%,
99,2023,2023-09-10,1,1,28.282,GNB,@,CHI,W 38-20,*,9,41,4.56,1,4,2,86,43.00,1,50.0%,21.50,0,0,,0,,2,12,0,0,0,0,0,0,28,47%,0,0%,0,0%,
100,2023,2023-09-17,2,2,,GNB,@,ATL,L 24-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
101,2023,2023-09-24,3,3,,GNB,,NOR,W 18-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
102,2023,2023-09-28,4,4,28.300,GNB,,DET,L 20-34,*,5,18,3.60,0,2,1,-4,-4.00,0,50.0%,-2.00,0,0,,0,,0,0,0,0,0,0,0,0,20,35%,0,0%,0,0%,
103,2023,2023-10-09,5,5,,GNB,@,LVR,L 13-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
104,2023,2023-10-22,6,7,28.324,GNB,@,DEN,L 17-19,*,8,35,4.38,0,5,3,22,7.33,0,60.0%,4.40,0,0,,0,,0,0,0,0,0,0,0,0,23,36%,0,0%,0,0%,
105,2023,2023-10-29,7,8,28.331,GNB,,MIN,L 10-24,*,7,29,4.14,0,5,4,17,4.25,0,80.0%,3.40,0,0,,0,,0,0,1,0,0,0,0,0,35,51%,0,0%,0,0%,
106,2023,2023-11-05,8,9,28.338,GNB,,LAR,W 20-3,*,20,73,3.65,1,6,4,26,6.50,0,66.7%,4.33,0,0,,0,,1,6,1,1,0,0,0,0,41,57%,0,0%,0,0%,
107,2023,2023-11-12,9,10,28.345,GNB,@,PIT,L 19-23,*,13,35,2.69,0,6,4,19,4.75,0,66.7%,3.17,0,0,,0,,0,0,0,0,0,1,-1,0,38,56%,0,0%,0,0%,
108,2023,2023-11-19,10,11,28.352,GNB,,LAC,W 23-20,*,4,14,3.50,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0,0,0,0,0,0,0,15,21%,0,0%,0,0%,
109,2023,2023-11-23,11,12,,GNB,@,DET,W 29-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
110,2023,2023-12-03,12,13,,GNB,,KAN,W 27-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
