Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
16,2023,2023-12-31,16,17,23.354,MIA,@,BAL,L 19-56,,4,12,3.00,0,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,5,7%,0,0%,14,47%,
17,2023,2024-01-07,17,18,23.361,MIA,,BUF,L 14-21,,,,,,,,,,,0.0%,,,,,,,,0,0%,0,0%,7,39%,
18,2024,2024-09-06,1,1,,GNB,@,PHI,L 29-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,2024,2024-09-15,2,2,,GNB,,IND,W 16-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,2024,2024-09-22,3,3,24.255,GNB,@,TEN,W 30-14,,3,3,1.00,0,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,4,6%,0,0%,3,11%,
21,2024,2024-09-29,4,4,24.262,GNB,,MIN,L 29-31,,,,,,,,,,,0.0%,,,,,,,,0,0%,0,0%,6,21%,
22,2024,2024-10-06,5,5,24.269,GNB,@,LAR,W 24-19,,,,,,,,,,,0.0%,,,,,,,,0,0%,0,0%,8,36%,
23,2024,2024-10-13,6,6,24.276,GNB,,ARI,W 34-13,,4,21,5.25,0,0,0,0,,0,0.0%,,0.0,0,0,0,0,0,10,14%,0,0%,4,15%,
24,2024,2024-10-20,7,7,24.283,GNB,,HOU,W 24-22,,,,,,,,,,,0.0%,,,,,,,,8,14%,0,0%,6,21%,
25,2024,2024-10-27,8,8,24.290,GNB,@,JAX,W 30-27,,4,16,4.00,0,1,1,1,1.00,0,100.0%,1.00,0.0,0,1,1,0,0,17,24%,0,0%,14,42%,
26,2024,2024-11-03,9,9,24.297,GNB,,DET,L 14-24,,2,13,6.50,0,4,3,28,9.33,0,75.0%,7.00,0.0,0,0,0,0,0,17,26%,0,0%,5,23%,
27,2024,2024-11-17,10,11,24.311,GNB,@,CHI,W 20-19,,0,0,,0,2,2,13,6.50,0,100.0%,6.50,0.0,0,0,0,0,0,10,22%,0,0%,9,50%,
28,2024,2024-11-24,11,12,24.318,GNB,,SFO,W 38-10,,4,11,2.75,0,1,1,15,15.00,0,100.0%,15.00,0.0,0,0,0,0,0,25,35%,0,0%,3,12%,
