Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
26,2023,2023-11-12,9,10,,GNB,@,PIT,L 19-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,2023,2023-11-19,10,11,,GNB,,LAC,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,2023,2023-11-23,11,12,24.189,GNB,@,DET,W 29-22,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,2,4%,0,0%,6,26%,
29,2023,2023-12-03,12,13,,GNB,,KAN,W 27-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,2023,2023-12-11,13,14,,GNB,@,NYG,L 22-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
31,2023,2023-12-17,14,15,24.213,GNB,,TAM,L 20-34,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,30%,0,0%,5,20%,
32,2023,2023-12-24,15,16,24.220,GNB,@,CAR,W 33-30,,6,4,44,11.00,0,66.7%,7.33,1,7,7.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,38%,0,0%,0,0%,
33,2023,2023-12-31,16,17,24.227,GNB,@,MIN,W 33-10,*,9,6,105,17.50,1,66.7%,11.67,0,0,,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,49,66%,0,0%,1,4%,
34,2023,2024-01-07,17,18,24.234,GNB,,CHI,W 17-9,,7,5,62,12.40,0,71.4%,8.86,2,14,7.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,75%,0,0%,0,0%,
35,2024,2024-09-06,1,1,25.111,GNB,@,PHI,L 29-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,8,12%,0,0%,9,29%,
36,2024,2024-09-15,2,2,25.120,GNB,,IND,W 16-10,,0,0,0,,0,0.0%,,2,8,4.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,23%,0,0%,7,32%,
37,2024,2024-09-22,3,3,25.127,GNB,@,TEN,W 30-14,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,17,27%,0,0%,6,21%,
38,2024,2024-09-29,4,4,25.134,GNB,,MIN,L 29-31,,3,1,28,28.00,0,33.3%,9.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,11,14%,0,0%,14,48%,
39,2024,2024-10-06,5,5,25.141,GNB,@,LAR,W 24-19,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,29,49%,0,0%,1,5%,
40,2024,2024-10-13,6,6,25.148,GNB,,ARI,W 34-13,,2,1,6,6.00,0,50.0%,3.00,2,27,13.50,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,27,37%,0,0%,6,22%,
41,2024,2024-10-20,7,7,25.155,GNB,,HOU,W 24-22,,1,1,8,8.00,0,100.0%,8.00,1,-1,-1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,14%,0,0%,9,31%,
42,2024,2024-10-27,8,8,25.162,GNB,@,JAX,W 30-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,12,17%,0,0%,17,52%,
43,2024,2024-11-03,9,9,25.169,GNB,,DET,L 14-24,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,17%,0,0%,6,27%,
44,2024,2024-11-17,10,11,25.183,GNB,@,CHI,W 20-19,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,5,11%,0,0%,4,22%,
45,2024,2024-11-24,11,12,25.190,GNB,,SFO,W 38-10,,1,0,0,,0,0.0%,0.00,1,5,5.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,32%,0,0%,6,24%,
