Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,23.112,DAL,@,CLE,W 33-17,*,,,,,,,62.0,98%,0.0,0%,7.0,19%
2.0,2024.0,2024-09-15,2.0,2.0,23.119,DAL,,NOR,L 19-44,*,,,,,,,70.0,100%,0.0,0%,5.0,19%
3.0,2024.0,2024-09-22,3.0,3.0,23.126,DAL,,BAL,L 25-28,*,,,,,,,80.0,100%,0.0,0%,3.0,11%
4.0,2024.0,2024-09-26,4.0,4.0,23.13,DAL,@,NYG,W 20-15,*,,,,,,,56.0,100%,0.0,0%,5.0,20%
5.0,2024.0,2024-10-06,5.0,5.0,23.14,DAL,@,PIT,W 20-17,*,,,,,,,76.0,100%,0.0,0%,6.0,25%
6.0,2024.0,2024-10-13,6.0,6.0,23.147,DAL,,DET,L 9-47,*,,,,,,,69.0,100%,0.0,0%,3.0,11%
7.0,2024.0,2024-10-27,7.0,8.0,23.161,DAL,@,SFO,L 24-30,*,0.0,0.0,0.0,1.0,0.0,0.0,62.0,100%,0.0,0%,4.0,13%
8.0,2024.0,2024-11-03,8.0,9.0,23.168,DAL,@,ATL,L 21-27,*,,,,,,,77.0,100%,0.0,0%,3.0,12%
9.0,2024.0,2024-11-10,9.0,10.0,23.175,DAL,,PHI,L 6-34,*,,,,,,,60.0,100%,0.0,0%,2.0,7%
10.0,2024.0,2024-11-18,10.0,11.0,23.183,DAL,,HOU,L 10-34,*,,,,,,,83.0,100%,0.0,0%,4.0,15%
