Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
13,2022,2022-12-05,13,13,,NOR,@,TAM,L 16-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2022,2022-12-18,14,15,,NOR,,ATL,W 21-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2022,2022-12-24,15,16,,NOR,@,CLE,W 17-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2022,2023-01-01,16,17,,NOR,@,PHI,W 20-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2022,2023-01-08,17,18,,NOR,,CAR,L 7-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,2023,2023-09-10,1,1,25.052,NOR,,TEN,W 16-15,,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0%,0,0%,24,86%,
19,2023,2023-09-18,2,2,25.060,NOR,@,CAR,W 20-17,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,22,81%,
20,2023,2023-09-24,3,3,25.066,NOR,@,GNB,L 17-18,,0,0,,,,,,,,,,,,,0,0%,0,0%,21,84%,
21,2023,2023-10-01,4,4,25.073,NOR,,TAM,L 9-26,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,23,88%,
22,2023,2023-10-08,5,5,25.080,NOR,@,NWE,W 34-0,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,0,0%,24,78%,
23,2023,2023-10-15,6,6,25.087,NOR,@,HOU,L 13-20,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0%,21,81%,
24,2023,2023-10-19,7,7,25.091,NOR,,JAX,L 24-31,,0,0,,,,,,,,,,,,,0,0%,0,0%,26,81%,
25,2023,2023-10-29,8,8,25.101,NOR,@,IND,W 38-27,,0,0,,,,,,,,,,,,,0,0%,0,0%,28,82%,
26,2023,2023-11-05,9,9,25.108,NOR,,CHI,W 24-17,,0,0,,,,,,,,,,,,,0,0%,0,0%,19,79%,
27,2023,2023-11-12,10,10,25.115,NOR,@,MIN,L 19-27,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,28,97%,
28,2023,2023-11-26,11,12,25.129,NOR,@,ATL,L 15-24,,0,0,,,,,,,,,,,,,0,0%,0,0%,18,75%,
29,2023,2023-12-03,12,13,25.136,NOR,,DET,L 28-33,,0,0,,,,,,,,,,,,,0,0%,0,0%,25,84%,
30,2023,2023-12-10,13,14,25.143,NOR,,CAR,W 28-6,,1,6,0.0,0,1,1,0,0,0,0,0,1,8,1,0,0%,0,0%,19,79%,
31,2023,2023-12-17,14,15,25.150,NOR,,NYG,W 24-6,,0,0,,,,,,,,,,,,,0,0%,0,0%,19,83%,
32,2023,2023-12-21,15,16,25.154,NOR,@,LAR,L 22-30,,0,0,,,,,,,,,,,,,0,0%,0,0%,22,92%,
33,2023,2023-12-31,16,17,25.164,NOR,@,TAM,W 23-13,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,21,81%,
34,2023,2024-01-07,17,18,25.171,NOR,,ATL,W 48-17,,0,0,0.0,1,3,4,0,0,0,0,0,0,0,0,0,0%,7,11%,24,75%,
35,2024,2024-09-08,1,1,,NOR,,CAR,W 47-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2024,2024-09-15,2,2,,NOR,@,DAL,W 44-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,2024,2024-09-22,3,3,,NOR,,PHI,L 12-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,2024,2024-09-29,4,4,26.071,NOR,@,ATL,L 24-26,,0,0,0.0,1,2,3,0,0,0,0,0,0,0,0,0,0%,40,71%,14,50%,
39,2024,2024-10-07,5,5,26.079,NOR,@,KAN,L 13-26,,0,0,0.0,3,1,4,0,0,0,0,0,0,0,0,0,0%,18,21%,15,63%,
40,2024,2024-10-13,6,6,26.085,NOR,,TAM,L 27-51,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,8,10%,25,68%,
41,2024,2024-10-17,7,7,26.089,NOR,,DEN,L 10-33,,0,0,,,,,,,,,,,,,0,0%,0,0%,27,93%,
42,2024,2024-10-27,8,8,26.099,NOR,@,LAC,L 8-26,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,30,88%,
43,2024,2024-11-03,9,9,26.106,NOR,@,CAR,L 22-23,,0,0,0.0,2,1,3,0,0,0,0,0,0,0,0,0,0%,0,0%,25,86%,
44,2024,2024-11-10,10,10,26.113,NOR,,ATL,W 20-17,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0%,0,0%,19,70%,
45,2024,2024-11-17,11,11,26.120,NOR,,CLE,W 35-14,,0,0,,,,,,,,,,,,,0,0%,0,0%,17,68%,
