Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,Sk,Solo,Ast,Comb,TFL,QBHits,Num,Pct,Num,Pct,Num,Pct,Status
11,2023,2023-11-26,11,12,,NOR,@,ATL,L 15-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2023,2023-12-03,12,13,,NOR,,DET,L 28-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2023,2023-12-10,13,14,,NOR,,CAR,W 28-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2023,2023-12-17,14,15,,NOR,,NYG,W 24-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2023,2023-12-21,15,16,,NOR,@,LAR,L 22-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2023,2023-12-31,16,17,,NOR,@,TAM,W 23-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,2023,2024-01-07,17,18,24.236,NOR,,ATL,W 48-17,,0,0,,0,2,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0,0,0,0,3,4%,0,0%,9,28%,
18,2024,2024-09-08,1,1,25.115,NOR,,CAR,W 47-10,,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0,5,8%,0,0%,1,3%,
19,2024,2024-09-15,2,2,25.122,NOR,@,DAL,W 44-19,,,,,,,,,,,0.0%,,,,,,,,,,,,3,5%,0,0%,3,11%,
20,2024,2024-09-22,3,3,25.129,NOR,,PHI,L 12-15,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1,1,0,0,1,2%,0,0%,4,24%,
21,2024,2024-09-29,4,4,25.136,NOR,@,ATL,L 24-26,,,,,,,,,,,0.0%,,,,,,,,,,,,0,0%,0,0%,12,43%,
22,2024,2024-10-07,5,5,25.144,NOR,@,KAN,L 13-26,,,,,,,,,,,0.0%,,,,,,,,,,,,0,0%,0,0%,3,13%,
23,2024,2024-10-13,6,6,25.150,NOR,,TAM,L 27-51,,1,5,5.00,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0.0,0,0,0,0,0,16,23%,0,0%,2,5%,
24,2024,2024-10-17,7,7,,NOR,,DEN,L 10-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,2024,2024-11-03,9,9,25.171,NOR,@,CAR,L 22-23,,5,13,2.60,0,1,1,25,25.00,0,100.0%,25.00,1,19,19.00,0,0.0,0,0,0,0,0,12,15%,0,0%,12,42%,
26,2024,2024-11-10,10,10,25.178,NOR,,ATL,W 20-17,,2,10,5.00,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0.0,0,1,1,0,0,8,15%,0,0%,5,19%,
27,2024,2024-11-17,11,11,25.185,NOR,,CLE,W 35-14,,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0,0,0,0,11,18%,0,0%,4,16%,
