Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct
1.0,2024.0,2024-09-08,1.0,1.0,22.156,NOR,,CAR,W 47-10,*,66.0,100%,0.0,0%,9.0,30%
2.0,2024.0,2024-09-15,2.0,2.0,22.163,NOR,@,DAL,W 44-19,*,53.0,90%,0.0,0%,7.0,26%
3.0,2024.0,2024-09-22,3.0,3.0,22.17,NOR,,PHI,L 12-15,*,56.0,100%,0.0,0%,2.0,12%
4.0,2024.0,2024-09-29,4.0,4.0,22.177,NOR,@,ATL,L 24-26,*,74.0,100%,0.0,0%,4.0,14%
5.0,2024.0,2024-10-07,5.0,5.0,22.185,NOR,@,KAN,L 13-26,*,53.0,100%,0.0,0%,2.0,8%
6.0,2024.0,2024-10-13,6.0,6.0,22.191,NOR,,TAM,L 27-51,*,70.0,100%,0.0,0%,5.0,14%
7.0,2024.0,2024-10-17,7.0,7.0,22.195,NOR,,DEN,L 10-33,*,70.0,100%,0.0,0%,2.0,7%
8.0,2024.0,2024-10-27,8.0,8.0,22.205,NOR,@,LAC,L 8-26,*,73.0,100%,0.0,0%,3.0,9%
9.0,2024.0,2024-11-03,9.0,9.0,22.212,NOR,@,CAR,L 22-23,*,79.0,100%,0.0,0%,4.0,14%
10.0,2024.0,2024-11-10,10.0,10.0,22.219,NOR,,ATL,W 20-17,*,42.0,79%,0.0,0%,3.0,11%
11.0,2024.0,2024-11-17,11.0,11.0,22.226,NOR,,CLE,W 35-14,*,60.0,100%,0.0,0%,5.0,20%
