Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020,2020-09-13,1,1,24.024,NWE,,MIA,W 21-11,,0,,,0,0,0,0,0%,0,0%,4,21%,
2,2020,2020-09-20,2,2,24.031,NWE,@,SEA,L 30-35,,0,,,0,0,0,0,0%,0,0%,5,18%,
3,2020,2020-09-27,3,3,24.038,NWE,,LVR,W 36-20,,0,,,0,0,0,0,0%,0,0%,7,23%,
4,2020,2020-10-05,4,4,24.046,NWE,@,KAN,L 10-26,,0,,,0,0,0,0,0%,0,0%,2,9%,
5,2020,2020-10-18,5,6,24.059,NWE,,DEN,L 12-18,,0,,,0,0,0,45,79%,0,0%,2,8%,
6,2020,2020-10-25,6,7,24.066,NWE,,SFO,L 6-33,,0,,,0,0,0,16,31%,0,0%,2,10%,
7,2020,2020-11-01,7,8,24.073,NWE,@,BUF,L 21-24,,0,,,0,0,0,0,0%,0,0%,3,12%,
8,2020,2020-11-09,8,9,24.081,NWE,@,NYJ,W 30-27,,0,,,0,0,0,0,0%,0,0%,7,26%,
9,2020,2020-11-15,9,10,,NWE,,BAL,W 23-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,2020,2020-11-26,11,12,,HOU,@,DET,W 41-25,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List,Exempt List
11,2020,2020-12-06,12,13,,HOU,,IND,L 20-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2020,2020-12-13,13,14,,HOU,@,CHI,L 7-36,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,2020,2020-12-20,14,15,,HOU,@,IND,L 20-27,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
14,2020,2020-12-27,15,16,,HOU,,CIN,L 31-37,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
15,2020,2021-01-03,16,17,,HOU,,TEN,L 38-41,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
16,2021,2021-10-10,5,5,25.051,CLE,@,LAC,L 42-47,,,,,,,,0,0%,0,0%,6,19%,
17,2021,2021-10-17,6,6,25.058,CLE,,ARI,L 14-37,,,,,,,,0,0%,0,0%,2,9%,
18,2021,2021-10-21,7,7,,CLE,,DEN,W 17-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,2021,2021-10-31,8,8,,CLE,,PIT,L 10-15,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,2021,2021-11-07,9,9,,CLE,@,CIN,W 41-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,2021,2021-11-14,10,10,25.086,CLE,@,NWE,L 7-45,,,,,,,,0,0%,0,0%,1,4%,
22,2021,2021-11-21,11,11,25.093,CLE,,DET,W 13-10,,,,,,,,0,0%,0,0%,3,14%,
23,2021,2021-12-12,13,14,,CLE,,BAL,W 24-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,2021,2021-12-20,14,15,25.122,CLE,,LVR,L 14-16,,,,,,,,0,0%,0,0%,3,12%,
25,2021,2021-12-25,15,16,25.127,CLE,@,GNB,L 22-24,,,,,,,,0,0%,0,0%,3,13%,
26,2021,2022-01-03,16,17,,CLE,@,PIT,L 14-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
