Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
11,2022,2022-11-27,11,12,,TAM,@,CLE,L 17-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2022,2022-12-05,12,13,,TAM,,NOR,W 17-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2022,2022-12-11,13,14,22.353,TAM,@,SFO,L 7-35,,0,0,0,,0,0.0%,,0,0,,0,5,123,24.60,0,2,21,10.50,0,0,0,1,0,0,0,0,0,0,0%,0,0%,9,43%,
14,2022,2022-12-18,14,15,22.360,TAM,,CIN,L 23-34,,1,1,7,7.00,0,100.0%,7.00,1,9,9.00,0,3,48,16.00,0,2,14,7.00,0,0,0,0,0,0,0,0,0,13,18%,0,0%,11,44%,
15,2022,2022-12-25,15,16,23.002,TAM,@,ARI,W 19-16,,0,0,0,,0,0.0%,,0,0,,0,3,68,22.67,0,1,14,14.00,0,0,0,0,0,0,0,0,0,4,5%,0,0%,13,40%,
16,2022,2023-01-01,16,17,23.009,TAM,,CAR,W 30-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,9,12%,0,0%,9,29%,
17,2022,2023-01-08,17,18,23.016,TAM,@,ATL,L 17-30,*,9,4,25,6.25,0,44.4%,2.78,1,17,17.00,0,1,24,24.00,0,1,12,12.00,0,0,0,0,0,0,0,0,0,46,84%,0,0%,10,36%,
18,2023,2023-09-10,1,1,23.261,TAM,@,MIN,W 20-17,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,1,23,23.00,0,4,29,7.25,0,0,0,0,0,0,0,0,0,18,26%,0,0%,9,32%,
19,2023,2023-09-17,2,2,23.268,TAM,,CHI,W 27-17,*,0,0,0,,0,0.0%,,1,11,11.00,0,0,0,,0,2,7,3.50,0,0,0,1,0,0,0,0,0,32,45%,0,0%,9,33%,
20,2023,2023-09-25,3,3,23.276,TAM,,PHI,L 11-25,,4,2,6,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,10,21%,0,0%,6,30%,
21,2023,2023-10-01,4,4,23.282,TAM,@,NOR,W 26-9,,4,4,45,11.25,1,100.0%,11.25,1,11,11.00,0,0,0,,0,1,7,7.00,0,1,6,0,0,0,0,0,0,45,63%,0,0%,8,31%,
22,2023,2023-10-15,5,6,23.296,TAM,,DET,L 6-20,,4,2,-2,-1.00,0,50.0%,-0.50,1,5,5.00,0,3,55,18.33,0,0,0,,0,0,0,0,0,0,0,0,0,14,25%,0,0%,9,36%,
23,2023,2023-10-22,6,7,23.303,TAM,,ATL,L 13-16,,3,3,14,4.67,0,100.0%,4.67,0,0,,0,2,50,25.00,0,1,3,3.00,0,0,0,1,1,0,0,0,0,19,26%,0,0%,7,33%,
24,2023,2023-10-26,7,8,23.307,TAM,@,BUF,L 18-24,,0,0,0,,0,0.0%,,0,0,,0,2,44,22.00,0,1,0,0.00,0,0,0,1,0,0,1,0,0,11,16%,0,0%,9,35%,
25,2023,2023-11-05,8,9,23.317,TAM,@,HOU,L 37-39,,0,0,0,,0,0.0%,,0,0,,0,3,54,18.00,0,3,22,7.33,0,0,0,0,0,0,0,0,0,9,14%,0,0%,11,33%,
26,2023,2023-11-12,9,10,23.324,TAM,,TEN,W 20-6,,2,1,5,5.00,0,50.0%,2.50,1,6,6.00,0,0,0,,0,2,15,7.50,0,0,0,0,0,0,0,0,0,15,23%,0,0%,6,26%,
27,2023,2023-11-19,10,11,23.331,TAM,@,SFO,L 14-27,,1,0,0,,0,0.0%,0.00,1,17,17.00,0,3,55,18.33,0,2,64,32.00,0,0,0,0,0,0,0,0,0,16,23%,0,0%,9,41%,
28,2023,2023-11-26,11,12,23.338,TAM,@,IND,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,4,7%,0,0%,8,30%,
29,2023,2023-12-03,12,13,23.345,TAM,,CAR,W 21-18,,1,1,4,4.00,0,100.0%,4.00,2,7,3.50,0,0,0,,0,3,21,7.00,0,0,0,0,0,0,0,0,0,13,21%,0,0%,12,41%,
30,2023,2023-12-10,13,14,23.352,TAM,@,ATL,W 29-25,,0,0,0,,0,0.0%,,0,0,,0,1,29,29.00,0,2,26,13.00,0,0,0,0,0,0,0,0,0,5,7%,0,0%,10,31%,
31,2023,2023-12-17,14,15,23.359,TAM,@,GNB,W 34-20,,0,0,0,,0,0.0%,,1,-1,-1.00,0,0,0,,0,1,13,13.00,0,0,0,0,0,0,0,0,0,11,18%,0,0%,7,28%,
32,2023,2023-12-24,15,16,24.001,TAM,,JAX,W 30-12,,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0,1,6,6.00,0,0,0,0,0,0,0,0,0,14,19%,0,0%,4,20%,
33,2023,2023-12-31,16,17,24.008,TAM,,NOR,L 13-23,,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,2,21,10.50,0,0,0,0,0,0,0,0,0,7,13%,0,0%,13,50%,
34,2023,2024-01-07,17,18,24.015,TAM,@,CAR,W 9-0,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,8,12%,0,0%,7,35%,
35,2024,2024-10-06,5,5,,CAR,@,CHI,L 10-36,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,2024,2024-10-13,6,6,,CAR,,ATL,L 20-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,2024,2024-10-20,7,7,,CAR,@,WAS,L 7-40,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,2024,2024-10-27,8,8,,CAR,@,DEN,L 14-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,2024,2024-11-03,9,9,24.316,CAR,,NOR,W 23-22,,0,0,0,,0,0.0%,,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,8,15%,0,0%,0,0%,
40,2024,2024-11-03,9,9,,CAR,,NOR,W 23-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,2024,2024-11-10,10,10,24.323,CAR,,NYG,W 20-17,,,,,,,0.0%,,,,,,,,,,,,,,0,0,,,,,,,6,10%,0,0%,0,0%,
42,2024,2024-11-24,11,12,24.337,CAR,,KAN,L 27-30,,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,8,13%,0,0%,0,0%,
